
Advanced Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
,Pressure(psi),unknown,0.000000,-0.000189,0.995379,-0.000032,0.003576,0.347366,0.000000,1.000000,0.000000
,Power(V),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO(ppm),19-Feb-18 12:38,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO Temp(degC),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Field Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7
,Temperature(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Pressure(psi),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Power(V),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO(ppm),19-Feb-18 12:38,1.000000,0.130000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO Temp(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000

Sensor/File information
Sensor SN, 21230019 ,,Modbus Addr., 1 
Sensor Type,DO2,,Initialized w/fw Rev,"2. 130"
Sensor Name,FCR DO (1),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_DO_8m_20200131,,Exported,"Aqua4Plus 1.9.10"
# Records,  10340 
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),
,Sensor Range,Custom,Custom,Custom,Custom,Custom,
,Minimum,3.625,26.032,12.490,1.830,3.700,
,Maximum,9.438,26.589,14.040,12.040,8.470,
,Mean,7.054,26.329,13.210,7.125,6.564,
,Variance,2.1744,0.0095,0.2382,15.1324,1.3375,
,Std Deviation,1.4746,0.0974,0.4881,3.8900,1.1565,
,,,,,,,
,,,,,,,
Rec #,Date/Time,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC)
1,31-Jan-20 17:00:00,3.938,26.364,13.771,11.870,3.930
2,31-Jan-20 17:15:00,3.938,26.393,13.652,11.890,3.940
3,31-Jan-20 17:30:00,3.938,26.397,13.741,11.900,3.940
4,31-Jan-20 17:45:00,3.938,26.376,13.652,11.950,3.940
5,31-Jan-20 18:00:00,3.938,26.386,13.265,11.930,3.940
6,31-Jan-20 18:15:00,3.938,26.348,13.175,11.900,3.940
7,31-Jan-20 18:30:00,3.938,26.414,13.116,11.860,3.950
8,31-Jan-20 18:45:00,3.938,26.405,13.056,11.820,3.940
9,31-Jan-20 19:00:00,3.938,26.370,12.996,11.920,3.930
10,31-Jan-20 19:15:00,3.938,26.360,13.026,11.850,3.940
11,31-Jan-20 19:30:00,3.938,26.363,12.996,11.720,3.940
12,31-Jan-20 19:45:00,3.938,26.394,13.026,11.800,3.930
13,31-Jan-20 20:00:00,3.875,26.391,12.996,11.810,3.920
14,31-Jan-20 20:15:00,3.875,26.370,12.996,11.870,3.920
15,31-Jan-20 20:30:00,3.875,26.408,12.996,11.840,3.930
16,31-Jan-20 20:45:00,3.875,26.399,12.966,11.830,3.940
17,31-Jan-20 21:00:00,3.875,26.386,12.966,11.870,3.940
18,31-Jan-20 21:15:00,3.875,26.397,12.996,11.800,3.950
19,31-Jan-20 21:30:00,3.875,26.395,12.966,11.780,3.940
20,31-Jan-20 21:45:00,3.938,26.390,12.996,11.780,3.950
21,31-Jan-20 22:00:00,3.938,26.353,12.937,11.720,3.970
22,31-Jan-20 22:15:00,3.938,26.348,12.937,11.680,3.950
23,31-Jan-20 22:30:00,3.938,26.285,12.937,11.760,3.950
24,31-Jan-20 22:45:00,3.938,26.383,12.937,11.780,3.950
25,31-Jan-20 23:00:00,3.938,26.378,12.937,11.790,3.930
26,31-Jan-20 23:15:00,3.875,26.350,12.937,11.840,3.910
27,31-Jan-20 23:30:00,3.875,26.347,12.937,11.890,3.830
28,31-Jan-20 23:45:00,3.813,26.321,12.937,11.940,3.790
29,1-Feb-20 00:00:00,3.750,26.361,12.907,11.980,3.780
30,1-Feb-20 00:15:00,3.750,26.351,12.907,11.970,3.770
31,1-Feb-20 00:30:00,3.750,26.328,12.907,12.010,3.750
32,1-Feb-20 00:45:00,3.750,26.355,12.907,11.970,3.750
